ccown,ccowc,pais,continent,regio,poblacio,pibcap_2011,pibcap_1900,despesa_educacio,despesa_militar,religio_llib,n_aliances,confianca_altres,co2_capita,gini,democracia
404,GNB,Guinea-Bissau,Africa,Sub-Saharan Africa,1.920922040939331,1501.41357421875,NA,2.947819948196411,1.652794361114502,Sí,4,NA,0.1674738526344299,34.79999923706055,0.3400000035762787
860,TLS,Timor-Leste,Asia,East Asia & Pacific,NA,NA,NA,4.137038230895996,1.232141494750977,Sí,1,NA,0.4842092990875244,NA,0.5080000162124634
694,QAT,Qatar,Asia,Middle East & North Africa,2.832067012786865,153764.171875,NA,2.803780078887939,4.806811332702637,Sí,4,NA,32.76177597045898,NA,0.0949999988079071
360,ROU,Romania,Europe,Europe & Central Asia,19.36455726623535,20126.29296875,615,3.583189964294434,1.843955993652344,Sí,24,0.12333878,3.817434549331665,34.79999923706055,0.4950000047683716
365,RUS,Russian Federation (the),Europe,Europe & Central Asia,145.8722534179688,24668.908203125,NA,3.517245054244995,3.832115650177002,Sí,59,0.23580576,11.79720306396484,37.70000076293945,0.1089999973773956
517,RWA,Rwanda,Africa,Sub-Saharan Africa,12.62695026397705,1929.28515625,NA,3.237070083618164,1.23964512348175,Sí,4,NA,0.1036226823925972,43.70000076293945,0.1319999992847443
60,KNA,Saint Kitts and Nevis,Americas,Latin America & Caribbean,0.0528229996562004,NA,NA,4.300000190734863,NA,Sí,3,NA,5.239771842956543,NA,NA
56,LCA,Saint Lucia,Americas,Latin America & Caribbean,0.1827899962663651,10475.369140625,NA,3.26606011390686,NA,Sí,3,NA,3.023804187774658,51.20000076293945,NA
57,VCT,Saint Vincent and the Grenadines,Americas,Latin America & Caribbean,0.1105889976024628,NA,NA,5.693779945373535,NA,Sí,3,NA,2.477983951568604,NA,NA
331,SMR,San Marino,Europe,Europe & Central Asia,NA,NA,NA,3.379699945449829,NA,NA,1,NA,NA,NA,NA
403,STP,Sao Tome and Principe,Africa,Sub-Saharan Africa,0.2150560021400452,3730.20458984375,NA,5.921549797058105,NA,Sí,2,NA,0.6989781260490417,40.70000076293945,0.5799999833106995
