Renda familiar disponible bruta (RFDB). Revisió estadística 2019. Índex
Municipis. 2019
Font: Idescat.
Nota: Any 2019. Dades provisionals.
Institut d'Estadística de Catalunya
https://www.idescat.cat/pub/?id=rfdbc&n=13301&by=mun
Codi,Literal,RFDB milers d'euros,RFDB per habitant. Milers d'euros,RFDB per habitant. Índex Catalunya = 100
171426,Quart,68461,18.7,102.8,
431362,"Ràpita, la",203136,13.5,74.0,
431233,Reus,1676000,15.8,86.9,
431251,Riba-roja d'Ebre,14781,13.4,73.4,
171450,Ribes de Freser,31854,18.3,100.2,
171463,Riells i Viabrea,68275,16.8,92.3,
431264,"Riera de Gaià, la",28148,16.1,88.4,
171479,Ripoll,181749,17.0,93.5,
081803,Ripollet,624248,16.1,88.2,
171485,Riudarenes,43550,20.2,111.2,
431270,Riudecanyes,19254,16.9,92.5,
431286,Riudecols,21278,17.9,98.0,
171501,Riudellots de la Selva,36803,18.1,99.4,
431299,Riudoms,93396,14.1,77.4,
081810,"Roca del Vallès, la",210931,19.8,108.5,
431310,Roda de Berà,101603,15.2,83.3,
081831,Roda de Ter,107053,17.0,93.0,
431331,Roquetes,116191,14.5,79.7,
171523,Roses,249343,13.0,71.2,
251898,Rosselló,47815,15.2,83.6,
081846,Rubí,1285660,16.5,90.6,
081878,Sabadell,3829751,17.8,97.9,
081918,Sallent,118109,17.8,97.7,
439057,Salou,383436,13.6,74.9,
171557,Salt,382430,12.4,68.0,
081944,Sant Adrià de Besòs,561774,15.2,83.4,
081960,Sant Andreu de la Barca,455281,16.7,91.4,
081976,Sant Andreu de Llavaneres,238429,21.8,119.9,
081982,Sant Antoni de Vilamajor,122530,19.9,109.3,
082009,Sant Boi de Llobregat,1439200,17.3,94.7,
082037,Sant Cebrià de Vallalta,59693,17.7,97.2,
082021,Sant Celoni,299163,16.6,91.4,
082042,Sant Climent de Llobregat,76290,18.6,101.9,
082055,Sant Cugat del Vallès,2370179,25.8,141.6,
082068,Sant Cugat Sesgarrigues,17129,17.0,93.2,
082074,Sant Esteve de Palautordera,56340,19.9,109.1,
082080,Sant Esteve Sesrovires,147149,19.4,106.4,
082107,Sant Feliu de Codines,105066,16.7,91.6,
171609,Sant Feliu de Guíxols,327150,15.1,82.9,
082114,Sant Feliu de Llobregat,873375,19.5,107.0,
171616,Sant Feliu de Pallerols,22932,16.7,91.4,
082093,Sant Fost de Campsentelles,174893,19.9,109.4,
082135,Sant Fruitós de Bages,179531,20.7,113.5,
171637,Sant Gregori,75232,20.0,109.7,
251924,Sant Guim de Freixenet,16038,15.9,87.1,
171642,Sant Hilari Sacalm,86911,15.6,85.9,
082153,Sant Hipòlit de Voltregà,64108,18.5,101.5,
081939,Sant Iscle de Vallalta,23376,17.7,97.2,
439023,Sant Jaume d'Enveja,46082,12.9,71.0,
431378,Sant Jaume dels Domenys,41335,15.8,87.0,
171674,Sant Joan de les Abadesses,58465,18.2,100.1,
082188,Sant Joan de Vilatorrada,182768,16.8,92.4,
082172,Sant Joan Despí,683088,20.1,110.5,
171851,Sant Joan les Fonts,55975,18.9,103.6,
171693,Sant Julià de Ramis,68379,19.8,108.9,
082205,Sant Julià de Vilatorta,66708,21.6,118.6,
179032,Sant Julià del Llor i Bonmatí,22859,17.9,98.5,
082212,Sant Just Desvern,537198,29.7,163.0,
082227,Sant Llorenç d'Hortons,44030,18.2,99.8,
082233,Sant Llorenç Savall,41663,17.4,95.6,
082248,Sant Martí de Centelles,18356,15.8,86.8,
082264,Sant Martí de Tous,21957,17.8,97.8,
082270,Sant Martí Sarroca,50344,15.4,84.7,
082310,Sant Pere de Ribes,520944,17.2,94.3,
082325,Sant Pere de Riudebitlles,40247,16.9,93.0,
082331,Sant Pere de Torelló,43219,17.9,98.3,
082346,Sant Pere de Vilamajor,85999,19.1,105.0,
171788,Sant Pere Pescador,31998,15.9,87.1,
082359,Sant Pol de Mar,103639,19.6,107.4,
082362,Sant Quintí de Mediona,32331,14.1,77.6,
082378,Sant Quirze de Besora,37090,17.4,95.4,
082384,Sant Quirze del Vallès,464909,23.1,126.7,
082401,Sant Sadurní d'Anoia,231820,18.0,98.9,
080983,Sant Salvador de Guardiola,55101,17.4,95.4,
082628,Sant Vicenç de Castellet,146914,15.4,84.4,
082649,Sant Vicenç de Montalt,160557,25.3,138.8,
082652,Sant Vicenç de Torelló,39950,19.7,107.9,
082634,Sant Vicenç dels Horts,470758,16.8,92.4,
431384,Santa Bàrbara,48955,13.0,71.5,
082444,Santa Coloma de Cervelló,158381,19.4,106.3,
171805,Santa Coloma de Farners,207578,16.0,87.7,
082457,Santa Coloma de Gramenet,1757431,14.8,81.1,
431397,Santa Coloma de Queralt,44254,16.7,91.6,
171812,Santa Cristina d'Aro,87238,16.9,92.6,
082460,Santa Eugènia de Berga,39852,17.8,97.9,
082476,Santa Eulàlia de Riuprimer,25342,18.8,103.3,
082482,Santa Eulàlia de Ronçana,141578,19.3,105.9,
082508,Santa Margarida de Montbui,129017,12.8,70.0,
082515,Santa Margarida i els Monjos,125474,16.4,90.1,
082589,Santa Maria d'Oló,18204,17.9,98.4,
082592,Santa Maria de Palautordera,166922,17.6,96.4,
431401,Santa Oliva,46880,14.1,77.6,
171848,Santa Pau,29450,18.9,103.7,
082606,Santa Perpètua de Mogoda,437372,16.9,92.8,
082613,Santa Susanna,56422,16.3,89.7,
081923,Santpedor,139159,18.5,101.8,
431423,Sarral,22357,14.6,80.2,
171864,Sarrià de Ter,90254,17.9,98.0,
431444,"Secuita, la",29842,17.5,96.2,
431457,"Selva del Camp, la",89503,15.7,86.2,
430445,"Sénia, la",71828,12.5,68.8,
082671,Sentmenat,164033,17.9,98.5,
171903,Serinyà,18566,16.5,90.4,
252043,Seròs,24560,12.9,70.8,
252038,"Seu d'Urgell, la",179536,14.9,81.6,
082690,Seva,68634,19.7,108.0,
171931,Sils,95271,15.8,86.6,
082704,Sitges,648393,22.5,123.3,
252075,Solsona,140573,15.2,83.4,
252094,Sort,36259,16.9,92.9,
252108,Soses,24993,14.4,79.1,
082732,Subirats,53828,17.5,96.1,
082747,Súria,105259,17.9,98.1,
082785,Taradell,124586,19.2,105.5,
431482,Tarragona,2262664,16.6,91.4,
252173,Tàrrega,253310,14.7,80.9,
082819,Teià,161799,25.5,140.2,
252206,Térmens,19764,14.9,81.7,
082798,Terrassa,3828486,17.3,94.8,
082824,Tiana,213044,24.3,133.2,
431508,Tivissa,23845,15.0,82.2,
082830,Tona,144381,17.6,96.7,
252234,Torà,20032,16.4,90.1,
082845,Tordera,250580,14.6,80.2,
082858,Torelló,255013,18.0,98.6,
082861,"Torre de Claramunt, la",62008,16.6,91.2,
431536,Torredembarra,240048,14.6,80.2,
252287,Torrefarrera,75599,16.5,90.7,
252304,Torregrossa,29295,13.2,72.5,
082877,Torrelavit,25169,17.7,97.2,
082883,Torrelles de Foix,31712,13.4,73.3,
082896,Torrelles de Llobregat,117828,19.6,107.6,
252326,Torres de Segre,29471,12.9,70.8,
171997,Torroella de Montgrí,168071,14.5,79.8,
431554,Tortosa,504863,15.2,83.2,
172023,Tossa de Mar,79996,14.2,77.9,
252347,Tremp,93352,16.1,88.3,
172044,Ullà,15639,13.6,74.9,
082900,Ullastrell,41472,19.9,109.0,
431567,Ulldecona,78487,12.1,66.3,
082917,Vacarisses,122183,18.1,99.4,
172076,"Vall d'en Bas, la",59018,19.5,107.2,
172082,"Vall de Bianya, la",25242,20.3,111.3,
250432,"Vall de Boí, la",17137,16.7,91.6,
