Any,Ambit,Titularitat,Tipus,Edicio,NomDelFestival,DataInici,DataFi,Assistents_a_Barcelona,Assistents_fora_de_Barcelona,Espai,Organitzador,Notes_Dades
2021,"Multidisciplinaris i altres",Privada,Festivals,10,"Festival Mixtur",30/9/2021,10/10/2021,,,"Fabra i Coats","Associació Col.lectiu Mixtur","Format mixt, amb activitats presencials i virtuals"
2021,"Arts escèniques",Privada,Festivals,12,"Festival Mutis. Festival de Teatre Independent de Barcelona",8/4/2021,18/4/2021,1496,154,"Diversos espais de la ciutat","Asociación La Coquera","Format mixt, amb activitats presencials i virtuals"
2021,"Arts escèniques",Privada,Festivals,7,"Festival Pindoles",11/6/2021,13/6/2021,2000,300,"El Castell de Montjuïc","Cultura Tangent S.L.",Presencial
2021,Audiovisuals,Privada,Festivals,1,"Festival Rellisquin",30/9/2021,3/10/2021,100,,"MUHBA Oliva Artés","Taula Eix Pere IV",Presencial
2021,"Arts escèniques","Consorci o fundació amb presència municipal",Festivals,9,"Festival Sâlmon d'Arts Vives de Barcelona",17/2/2021,21/2/2021,,,,"Mercat de les Flors i Graner",
2021,Música,Privada,Festivals,9,"Festival Talent",10/6/2021,30/9/2021,1084,,"Diversos espais de la ciutat","Fundació Privada Taller de Músics",Presencial
2021,"Multidisciplinaris i altres",Municipal,Festivals,5,"Festival Tangent",6/7/2021,30/7/2021,1699,,"Centres cívics, diversos interiors d'illa, plaça Fort Pienc i Mercat de Sant Antoni","Direcció de Serveis a les persones i territori de l'Eixample. Ajuntament de Barcelona",Presencial
2021,Audiovisuals,Privada,Festivals,4,"Festival Wallay!",17/6/2021,4/7/2021,,,,"Catalunya Film Festivals",
2021,"Arts escèniques",Municipal,Festivals,18,"Fica't al SAT!",19/2/2021,1/1/1900,,,,"saT! Sant Andreu Teatre. Ajuntament de Barcelona",
2021,Lletres,Privada,Fires,70,"Fira del Llibre d'Ocasió Antic i Modern",17/9/2021,3/10/2021,,,"Passeig de Gràcia - Estand de l'Exposició a la mateixa Fira","Gremi de Llibreters de Vell de Catalunya","Format mixt, amb activitats presencials i virtuals"
2021,Lletres,Privada,Festivals,11,"Flic. Festival de literatures i arts infantil i juvenil",15/11/2021,21/11/2021,7000,3000,"Museu del Disseny",Tantàgora,"A banda del públic presencial, van registrar-se 350 usuaris en línia"
2021,Audiovisuals,Privada,Festivals,16,"Flux. Festival de Vídeo d'Autor",14/12/2021,9/1/2022,,,,"Habitual Video Team",
2021,"Multidisciplinaris i altres",Municipal,Festivals,45,"Grec Festival de Barcelona",27/6/2021,31/7/2021,98024,,"Diversos espais de la ciutat","Institut de Cultura. Ajuntament de Barcelona",Presencial
2021,Música,Municipal,Festivals,,"Guineueta Lliure i Tropical",14/7/2021,14/7/2021,,,,"Casal de Joves Guineueta",
2021,Música,Privada,Festivals,32,"Guitar Bcn",1/1/2021,16/6/2021,45000,,"Sala Barts","The Project Music Company",Presencial
2021,Música,Privada,Festivals,,Hivernacle,13/11/2021,18/12/2021,10130,,"Poble Espanyol","Centris Events",Presencial
2021,"Multidisciplinaris i altres",Privada,Festivals,11,"HOP Festival. Festival de Danses Urbanes",1/3/2021,22/12/2021,5199,,"Diversos espais de la ciutat","El Generador","A banda del públic presencial, van registrar-se 850 usuaris en línia"
2021,Audiovisuals,Privada,Festivals,14,"IndiFest Festival de Cinema Indígena de Barcelona",11/10/2021,24/10/2021,629,205,"Cinemes Girona","alterNativa Intercanvi amb Pobles Indígenes","A banda del públic presencial, van registrar-se 277 usuaris en línia"
2021,"Multidisciplinaris i altres",Privada,Festivals,,"INFLUX Festival. Vídeo a Escena",23/11/2021,28/11/2021,,,,"Habitual Video Team",
2021,"Arts visuals",Privada,Festivals,,"International Festival on Experimental Photography",21/7/2021,25/7/2021,,,,Experimentalphotofestival,
2021,Música,Privada,Fires,3,"Jazz I am",8/9/2021,10/9/2021,325,,"Fabra i Coats","Fundació Privada Taller de Músics",Presencial
2021,Música,Privada,Festivals,8,"Jazzing Festival",2/9/2021,5/9/2021,,,,"Assoc. Sant Andreu Jazz Band",
2021,"Arts visuals",Privada,Fires,,Joya,22/9/2021,24/10/2021,,,,"Le Departement Interiors SL",
2021,Lletres,"Consorci o fundació amb presència municipal",Festivals,12,Kosmòpolis,16/6/2021,20/6/2021,3638,,CCCB,CCCB,Presencial
2021,"Multidisciplinaris i altres",Privada,Festivals,,"Kronos Art BCN",10/7/2021,17/7/2021,,,,"Asociación Ant cultura y arte i ANT comunicación visual.mdp",
2021,Audiovisuals,Privada,Festivals,28,"L'Alternativa. Festival de Cinema Independent de Barcelona",15/11/2021,5/12/2021,10500,,CCCB,"La Fàbrica de Cinema Alternatiu","A banda del públic presencial, van registrar-se 38.500 usuaris en línia"
