Migracions. Totals
Municipis. 2021
Font: Idescat, a partir de l'Estadística de variacions residencials de l'INE.
Institut d'Estadística de Catalunya
http://www.idescat.cat/pub/?id=mm&n=5489&by=mun
Codi;Literal;Migracions internes  amb la resta de Catalunya  immigracions;Migracions internes  amb la resta de Catalunya  emigracions;Migracions internes  amb la resta de Catalunya  saldo migratori;Migracions internes  amb la resta d'Espanya  immigracions;Migracions internes  amb la resta d'Espanya  emigracions;Migracions internes  amb la resta d'Espanya  saldo migratori;Migracions externes  immigracions;Migracions externes  emigracions;Migracions externes  saldo migratori;Saldo migratori total
430326;Bot;14;11;3;0;1;-1;6;5;1;3;
430332;Botarell;52;40;12;6;8;-2;8;1;7;17;
250560;Bovera;8;5;3;0;1;-1;8;0;8;10;
430347;Bràfim;29;18;11;5;7;-2;4;16;-12;-3;
170274;Breda;174;144;30;9;19;-10;26;15;11;31;
080253;Bruc, el;140;99;41;7;11;-4;11;5;6;43;
080266;Brull, el;13;11;2;1;1;0;1;0;1;3;
170280;Brunyola i Sant Martí Sapresa;15;13;2;1;0;1;2;0;2;5;
430350;Cabacés;7;12;-5;1;2;-1;3;1;2;-4;
250609;Cabanabona;5;4;1;1;0;1;0;0;0;2;
170314;Cabanelles;22;10;12;2;3;-1;5;1;4;15;
170307;Cabanes;58;50;8;4;3;1;7;3;4;13;
080272;Cabanyes, les;27;34;-7;1;3;-2;6;3;3;-6;
250616;Cabó;9;2;7;0;2;-2;0;1;-1;4;
430363;Cabra del Camp;94;76;18;11;16;-5;14;4;10;23;
080288;Cabrera d'Anoia;158;84;74;6;5;1;13;0;13;88;
080291;Cabrera de Mar;328;274;54;21;29;-8;64;21;43;89;
080305;Cabrils;498;393;105;25;38;-13;128;115;13;105;
170329;Cadaqués;95;68;27;18;20;-2;68;12;56;81;
080312;Calaf;139;128;11;14;8;6;44;64;-20;-3;
430379;Calafell;2424;1761;663;269;277;-8;680;608;72;727;
080348;Calders;91;53;38;6;3;3;10;4;6;47;
080327;Caldes d'Estrac;304;252;52;17;19;-2;67;40;27;77;
170335;Caldes de Malavella;474;409;65;31;36;-5;107;37;70;130;
080333;Caldes de Montbui;669;580;89;51;85;-34;155;40;115;170;
080351;Calella;1074;821;253;107;142;-35;415;370;45;263;
080370;Calldetenes;125;94;31;3;6;-3;9;4;5;33;
080386;Callús;114;99;15;5;3;2;15;5;10;27;
080364;Calonge de Segarra;5;3;2;2;0;2;0;1;-1;3;
170340;Calonge i Sant Antoni;706;578;128;89;74;15;285;207;78;221;
250621;Camarasa;28;36;-8;10;6;4;2;3;-1;-5;
439039;Camarles;134;91;43;31;18;13;37;33;4;60;
430385;Cambrils;1707;1216;491;328;296;32;718;948;-230;293;
170353;Camós;34;33;1;5;1;4;2;0;2;7;
170366;Campdevànol;111;80;31;12;12;0;16;14;2;33;
170372;Campelles;20;7;13;0;0;0;0;0;0;13;
080399;Campins;43;23;20;3;1;2;2;1;1;23;
170388;Campllong;27;26;1;3;1;2;2;1;1;4;
170391;Camprodon;163;127;36;8;26;-18;46;71;-25;-7;
250637;Canejan;5;2;3;1;0;1;0;0;0;4;
170405;Canet d'Adri;41;43;-2;4;1;3;9;7;2;3;
080403;Canet de Mar;707;561;146;48;74;-26;132;60;72;192;
439076;Canonja, la;216;274;-58;21;17;4;31;25;6;-48;
080410;Canovelles;765;878;-113;58;92;-34;259;146;113;-34;
080425;Cànoves i Samalús;234;167;67;6;15;-9;25;11;14;72;
170412;Cantallops;43;11;32;1;1;0;4;41;-37;-5;
080431;Canyelles;371;229;142;30;43;-13;37;49;-12;117;
430398;Capafonts;6;10;-4;0;0;0;2;0;2;-2;
430402;Capçanes;14;8;6;2;2;0;10;3;7;13;
080446;Capellades;243;225;18;21;35;-14;42;18;24;28;
170427;Capmany;75;27;48;2;5;-3;14;8;6;51;
080459;Capolat;6;1;5;0;0;0;0;0;0;5;
080462;Cardedeu;870;771;99;66;79;-13;132;47;85;171;
080478;Cardona;106;126;-20;27;15;12;49;33;16;8;
080484;Carme;35;35;0;0;3;-3;0;1;-1;-4;
430419;Caseres;4;4;0;4;1;3;2;0;2;5;
170448;Cassà de la Selva;400;326;74;33;40;-7;115;23;92;159;
080497;Casserres;74;70;4;4;3;1;10;2;8;13;
080575;Castell de l'Areny;4;7;-3;0;0;0;0;0;0;-3;
259046;Castell de Mur;7;6;1;1;0;1;2;0;2;4;
250642;Castellar de la Ribera;6;6;0;0;0;0;0;0;0;0;
080522;Castellar de n'Hug;16;6;10;0;0;0;1;0;1;11;
080500;Castellar del Riu;4;1;3;1;0;1;0;0;0;4;
080517;Castellar del Vallès;960;653;307;86;97;-11;104;94;10;306;
080538;Castellbell i el Vilar;250;197;53;13;16;-3;20;7;13;63;
080543;Castellbisbal;501;425;76;95;81;14;90;86;4;94;
080556;Castellcir;62;39;23;1;3;-2;7;4;3;24;
250674;Castelldans;27;28;-1;5;3;2;6;20;-14;-13;
080569;Castelldefels;2679;2766;-87;565;692;-127;1572;1232;340;126;
080581;Castellet i la Gornal;243;139;104;5;22;-17;29;69;-40;47;
170464;Castellfollit de la Roca;40;38;2;12;4;8;3;11;-8;2;
080608;Castellfollit de Riubregós;4;6;-2;0;2;-2;0;0;0;-4;
080594;Castellfollit del Boix;31;12;19;3;8;-5;0;2;-2;12;
080615;Castellgalí;197;126;71;7;25;-18;14;12;2;55;
080620;Castellnou de Bages;64;71;-7;3;5;-2;16;3;13;4;
250680;Castellnou de Seana;26;15;11;5;0;5;10;1;9;25;
170470;Castelló d'Empúries;500;467;33;100;77;23;535;52;483;539;
250693;Castelló de Farfanya;22;31;-9;1;1;0;2;2;0;-9;
080636;Castellolí;33;46;-13;1;2;-1;1;1;0;-14;
170486;Castell-Platja d'Aro;709;655;54;107;94;13;572;227;345;412;
250707;Castellserà;21;45;-24;3;2;1;15;3;12;-11;
080641;Castellterçol;159;118;41;18;21;-3;27;19;8;46;
430424;Castellvell del Camp;182;122;60;4;6;-2;9;14;-5;53;
080654;Castellví de la Marca;67;46;21;0;6;-6;14;0;14;29;
080667;Castellví de Rosanes;177;88;89;6;6;0;17;5;12;101;
430430;Catllar, el;383;216;167;12;21;-9;30;42;-12;146;
250714;Cava;7;2;5;1;0;1;0;0;0;6;
171899;Cellera de Ter, la;76;79;-3;1;1;0;18;38;-20;-23;
170499;Celrà;190;204;-14;27;30;-3;61;133;-72;-89;
080673;Centelles;313;243;70;29;25;4;40;25;15;89;
082687;Cercs;50;61;-11;6;1;5;3;1;2;-4;
082665;Cerdanyola del Vallès;1992;2093;-101;303;372;-69;920;748;172;2;
080689;Cervelló;543;454;89;42;54;-12;84;40;44;121;
250729;Cervera;228;232;-4;40;36;4;108;33;75;75;
250735;Cervià de les Garrigues;22;37;-15;3;4;-1;0;2;-2;-18;
170502;Cervià de Ter;55;26;29;1;4;-3;8;1;7;33;
170519;Cistella;35;20;15;7;0;7;2;8;-6;16;
250740;Ciutadilla;7;16;-9;0;0;0;0;0;0;-9;
250753;Clariana de Cardener;8;6;2;0;0;0;0;0;0;2;
250766;Cogul, el;12;4;8;0;0;0;2;1;1;9;
170545;Colera;28;23;5;1;3;-2;8;1;7;10;
250772;Coll de Nargó;26;23;3;4;3;1;4;2;2;6;
080692;Collbató;297;223;74;9;19;-10;16;8;8;72;
430458;Colldejou;11;6;5;0;0;0;0;1;-1;4;
080706;Collsuspina;24;18;6;0;1;-1;2;0;2;7;
170558;Colomers;17;8;9;2;0;2;3;0;3;14;
251636;Coma i la Pedra, la;27;24;3;1;0;1;0;0;0;4;
251615;Conca de Dalt;22;13;9;0;0;0;6;1;5;14;
430461;Conesa;13;13;0;0;0;0;4;0;4;4;
430477;Constantí;262;313;-51;44;54;-10;97;33;64;3;
080713;Copons;29;11;18;1;0;1;0;0;0;19;
430483;Corbera d'Ebre;39;28;11;4;2;2;10;2;8;21;
080728;Corbera de Llobregat;812;637;175;68;83;-15;109;58;51;211;
250788;Corbins;54;47;7;6;9;-3;22;31;-9;-5;
170577;Corçà;60;62;-2;9;4;5;6;6;0;3;
080734;Cornellà de Llobregat;3518;4113;-595;461;611;-150;1378;603;775;30;
170561;Cornellà del Terri;113;121;-8;8;6;2;10;5;5;-1;
430496;Cornudella de Montsant;54;29;25;3;17;-14;7;3;4;15;
430509;Creixell;398;256;142;29;30;-1;45;126;-81;60;
170583;Crespià;17;14;3;1;1;0;1;0;1;4;
179011;Cruïlles, Monells i Sant Sadurní de l'Heura;78;73;5;7;2;5;15;6;9;19;
080749;Cubelles;1288;971;317;103;118;-15;163;40;123;425;
250791;Cubells;20;11;9;2;2;0;1;0;1;10;
430516;Cunit;1364;886;478;133;128;5;297;153;144;627;
170600;Darnius;35;34;1;4;2;2;4;4;0;3;
170617;Das;31;13;18;2;4;-2;0;0;0;16;
439018;Deltebre;388;256;132;67;66;1;98;13;85;218;
080752;Dosrius;416;365;51;18;33;-15;31;6;25;61;
430537;Duesaigües;13;17;-4;0;0;0;3;0;3;-1;
170622;Escala, l';374;344;30;52;58;-6;178;63;115;139;
080765;Esparreguera;900;864;36;99;136;-37;139;124;15;14;
170638;Espinelves;15;4;11;0;1;-1;0;0;0;10;
250812;Espluga Calba, l';10;11;-1;1;2;-1;6;0;6;4;
430542;Espluga de Francolí, l';113;132;-19;18;14;4;16;5;11;-4;
080771;Esplugues de Llobregat;2171;2582;-411;247;276;-29;785;277;508;68;
170643;Espolla;14;14;0;1;1;0;2;1;1;1;
170656;Esponellà;48;26;22;1;2;-1;4;0;4;25;
250827;Espot;14;3;11;1;2;-1;2;4;-2;8;
080787;Espunyola, l';17;11;6;0;0;0;0;0;0;6;
082541;Esquirol, l';122;88;34;8;3;5;22;2;20;59;
250886;Estamariu;9;6;3;0;0;0;0;2;-2;1;
080790;Estany, l';35;46;-11;4;2;2;1;1;0;-9;
250851;Estaràs;3;6;-3;0;0;0;0;1;-1;-4;
250864;Esterri d'Àneu;42;47;-5;9;3;6;11;10;1;2;
250870;Esterri de Cardós;2;4;-2;0;0;0;0;0;0;-2;
430555;Falset;94;55;39;12;21;-9;36;11;25;55;
170059;Far d'Empordà, el;43;36;7;5;4;1;2;2;0;8;
250899;Farrera;3;3;0;1;0;1;4;0;4;5;
430568;Fatarella, la;13;16;-3;2;1;1;1;7;-6;-8;
430574;Febró, la;0;3;-3;0;0;0;1;0;1;-2;
081347;Figaró-Montmany;74;90;-16;10;5;5;18;14;4;-7;
080804;Fígols;6;4;2;0;0;0;0;0;0;2;
