Migracions. Totals
Municipis. 2021
Font: Idescat, a partir de l'Estadística de variacions residencials de l'INE.
Institut d'Estadística de Catalunya
http://www.idescat.cat/pub/?id=mm&n=5489&by=mun
Codi;Literal;Migracions internes  amb la resta de Catalunya  immigracions;Migracions internes  amb la resta de Catalunya  emigracions;Migracions internes  amb la resta de Catalunya  saldo migratori;Migracions internes  amb la resta d'Espanya  immigracions;Migracions internes  amb la resta d'Espanya  emigracions;Migracions internes  amb la resta d'Espanya  saldo migratori;Migracions externes  immigracions;Migracions externes  emigracions;Migracions externes  saldo migratori;Saldo migratori total
082690;Seva;176;140;36;15;8;7;21;15;6;49;
252056;Sidamon;38;16;22;0;3;-3;2;1;1;20;
171931;Sils;410;293;117;25;45;-20;70;15;55;152;
082704;Sitges;1886;1396;490;275;257;18;1064;545;519;1027;
170524;Siurana;8;16;-8;2;2;0;1;0;1;-7;
082711;Sobremunt;9;6;3;0;0;0;1;0;1;4;
252069;Soleràs, el;10;11;-1;2;4;-2;5;2;3;0;
431476;Solivella;21;31;-10;0;1;-1;3;1;2;-9;
252075;Solsona;234;250;-16;49;46;3;127;75;52;39;
082726;Sora;16;10;6;0;1;-1;2;0;2;7;
252081;Soriguera;25;15;10;1;3;-2;0;1;-1;7;
252094;Sort;119;102;17;25;11;14;13;5;8;39;
252108;Soses;34;54;-20;15;9;6;50;26;24;10;
082732;Subirats;214;116;98;17;15;2;21;4;17;117;
252115;Sudanell;42;24;18;11;3;8;18;6;12;38;
252120;Sunyer;13;12;1;1;0;1;6;9;-3;-1;
082747;Súria;162;146;16;37;33;4;37;20;17;37;
171946;Susqueda;1;8;-7;2;0;2;1;0;1;-4;
082763;Tagamanent;27;11;16;1;4;-3;3;0;3;16;
082779;Talamanca;21;18;3;0;5;-5;0;0;0;-2;
252154;Talarn;38;28;10;140;81;59;6;0;6;75;
252167;Talavera;6;2;4;0;0;0;1;0;1;5;
171959;Tallada d'Empordà, la;20;13;7;3;0;3;5;4;1;11;
082785;Taradell;258;219;39;5;16;-11;37;25;12;40;
431482;Tarragona;3648;4325;-677;1383;1285;98;2870;3878;-1008;-1587;
252173;Tàrrega;594;509;85;145;110;35;236;273;-37;83;
252189;Tarrés;7;6;1;0;0;0;0;0;0;1;
252192;Tarroja de Segarra;3;10;-7;0;0;0;0;0;0;-7;
082750;Tavèrnoles;9;10;-1;0;2;-2;0;0;0;-3;
082802;Tavertet;12;7;5;0;0;0;0;0;0;5;
082819;Teià;374;270;104;28;25;3;76;53;23;130;
252206;Térmens;40;23;17;1;2;-1;46;28;18;34;
171962;Terrades;22;16;6;1;3;-2;3;1;2;6;
082798;Terrassa;5813;5926;-113;1251;1427;-176;2747;1633;1114;825;
082824;Tiana;495;397;98;28;35;-7;37;28;9;100;
252213;Tírvia;9;8;1;0;1;-1;0;0;0;0;
252228;Tiurana;2;4;-2;0;0;0;0;0;0;-2;
431495;Tivenys;24;16;8;4;1;3;28;3;25;36;
431508;Tivissa;45;48;-3;4;8;-4;24;61;-37;-44;
082830;Tona;312;326;-14;20;32;-12;81;42;39;13;
252234;Torà;73;60;13;10;5;5;19;3;16;34;
082845;Tordera;964;757;207;106;115;-9;188;51;137;335;
082858;Torelló;504;402;102;62;47;15;170;71;99;216;
252249;Torms, els;10;1;9;0;0;0;1;3;-2;7;
252252;Tornabous;45;27;18;14;4;10;21;24;-3;25;
252271;Torre de Cabdella, la;35;22;13;0;6;-6;3;2;1;8;
082861;Torre de Claramunt, la;262;169;93;16;16;0;14;3;11;104;
431515;Torre de Fontaubella, la;0;2;-2;0;0;0;0;0;0;-2;
431520;Torre de l'Espanyol, la;21;17;4;2;9;-7;3;2;1;-2;
252265;Torrebesses;7;10;-3;1;0;1;10;5;5;3;
431536;Torredembarra;901;836;65;143;140;3;314;148;166;234;
252287;Torrefarrera;168;186;-18;17;17;0;41;32;9;-9;
259078;Torrefeta i Florejacs;38;23;15;5;3;2;5;1;4;21;
252304;Torregrossa;63;58;5;12;9;3;26;9;17;25;
252311;Torrelameu;45;17;28;5;9;-4;12;3;9;33;
082877;Torrelavit;59;52;7;6;7;-1;21;3;18;24;
082883;Torrelles de Foix;214;135;79;14;31;-17;37;7;30;92;
082896;Torrelles de Llobregat;274;259;15;30;26;4;33;25;8;27;
171978;Torrent;8;4;4;0;4;-4;2;1;1;1;
252326;Torres de Segre;83;73;10;38;8;30;301;449;-148;-108;
252332;Torre-serona;26;18;8;1;4;-3;2;1;1;6;
171984;Torroella de Fluvià;67;35;32;4;6;-2;8;2;6;36;
171997;Torroella de Montgrí;424;406;18;68;76;-8;259;204;55;65;
431541;Torroja del Priorat;5;4;1;1;0;1;1;0;1;3;
172001;Tortellà;43;38;5;4;6;-2;6;1;5;8;
431554;Tortosa;949;859;90;318;246;72;618;378;240;402;
172018;Toses;25;17;8;2;2;0;0;0;0;8;
172023;Tossa de Mar;183;186;-3;45;40;5;159;130;29;31;
252347;Tremp;197;170;27;38;57;-19;122;34;88;96;
172044;Ullà;81;70;11;8;9;-1;48;29;19;29;
082900;Ullastrell;139;96;43;6;10;-4;8;4;4;43;
172057;Ullastret;6;7;-1;0;0;0;2;0;2;1;
431567;Ulldecona;137;131;6;131;158;-27;164;90;74;53;
431573;Ulldemolins;25;14;11;0;0;0;2;0;2;13;
172039;Ultramort;7;9;-2;2;0;2;0;1;-1;-1;
172060;Urús;25;17;8;0;1;-1;1;2;-1;6;
082917;Vacarisses;569;362;207;14;21;-7;44;12;32;232;
170144;Vajol, la;7;4;3;0;1;-1;0;0;0;2;
172076;Vall d'en Bas, la;126;82;44;13;4;9;8;16;-8;45;
172082;Vall de Bianya, la;82;63;19;10;7;3;9;4;5;27;
250432;Vall de Boí, la;61;22;39;8;15;-7;9;2;7;39;
259010;Vall de Cardós;24;23;1;2;0;2;3;0;3;6;
082922;Vallbona d'Anoia;72;69;3;4;8;-4;23;6;17;16;
252385;Vallbona de les Monges;12;16;-4;0;2;-2;3;4;-1;-7;
082938;Vallcebre;15;8;7;2;0;2;0;0;0;9;
431589;Vallclara;4;7;-3;0;0;0;2;0;2;-1;
252402;Vallfogona de Balaguer;109;81;28;7;12;-5;18;1;17;40;
171707;Vallfogona de Ripollès;13;6;7;0;0;0;0;0;0;7;
431592;Vallfogona de Riucorb;12;1;11;0;0;0;0;0;0;11;
082943;Vallgorguina;284;217;67;13;21;-8;15;8;7;66;
082956;Vallirana;895;643;252;66;118;-52;96;67;29;229;
172095;Vall-llobrega;55;35;20;2;2;0;6;0;6;26;
431606;Vallmoll;133;78;55;9;1;8;15;6;9;72;
082969;Vallromanes;126;118;8;12;15;-3;21;6;15;20;
431613;Valls;888;837;51;137;104;33;389;762;-373;-289;
259062;Valls d'Aguilar, les;21;6;15;0;0;0;3;2;1;16;
252398;Valls de Valira, les;38;36;2;5;10;-5;33;13;20;17;
431628;Vandellòs i l'Hospitalet de l'Infant;337;275;62;68;44;24;115;98;17;103;
259097;Vansa i Fórnols, la;9;7;2;0;0;0;0;0;0;2;
082975;Veciana;9;11;-2;4;0;4;2;1;1;3;
431634;Vendrell, el;2130;1856;274;242;310;-68;443;344;99;305;
172109;Ventalló;66;68;-2;1;2;-1;13;28;-15;-18;
252424;Verdú;33;44;-11;10;9;1;3;5;-2;-12;
172116;Verges;68;63;5;4;14;-10;3;17;-14;-19;
431649;Vespella de Gaià;40;21;19;2;0;2;15;0;15;36;
082981;Vic;1530;1621;-91;442;291;151;1237;863;374;434;
172121;Vidrà;7;12;-5;0;0;0;0;0;0;-5;
172137;Vidreres;452;392;60;42;49;-7;129;101;28;81;
252430;Vielha e Mijaran;159;186;-27;120;172;-52;117;108;9;-70;
431652;Vilabella;21;22;-1;4;3;1;7;1;6;6;
172142;Vilabertran;54;25;29;1;3;-2;3;4;-1;26;
172155;Vilablareix;233;97;136;13;3;10;18;7;11;157;
082994;Vilada;33;13;20;1;0;1;0;1;-1;20;
172174;Viladamat;22;14;8;0;0;0;2;1;1;9;
172168;Viladasens;7;7;0;0;0;0;1;1;0;0;
083015;Viladecans;2126;2236;-110;293;420;-127;520;260;260;23;
083008;Viladecavalls;376;327;49;10;20;-10;20;21;-1;38;
172180;Vilademuls;54;55;-1;10;7;3;4;3;1;3;
172207;Viladrau;73;62;11;2;10;-8;9;2;7;10;
172214;Vilafant;346;251;95;10;29;-19;41;18;23;99;
083054;Vilafranca del Penedès;1372;1277;95;150;233;-83;471;371;100;112;
252445;Vilagrassa;43;30;13;6;1;5;7;1;6;24;
172235;Vilajuïga;45;40;5;10;2;8;13;0;13;26;
431750;Vilalba dels Arcs;16;19;-3;1;1;0;10;1;9;6;
083067;Vilalba Sasserra;62;66;-4;2;5;-3;1;0;1;-6;
252458;Vilaller;11;23;-12;6;11;-5;5;0;5;-12;
172240;Vilallonga de Ter;44;18;26;1;0;1;1;0;1;28;
431665;Vilallonga del Camp;120;110;10;16;5;11;15;20;-5;16;
172253;Vilamacolum;27;22;5;1;3;-2;14;0;14;17;
172266;Vilamalla;68;61;7;3;2;1;8;0;8;16;
172272;Vilamaniscle;13;10;3;1;0;1;1;0;1;5;
252477;Vilamòs;15;7;8;3;0;3;1;2;-1;10;
172288;Vilanant;18;23;-5;3;0;3;4;1;3;1;
431671;Vilanova d'Escornalbou;37;29;8;4;3;1;7;1;6;15;
252483;Vilanova de Bellpuig;32;36;-4;2;3;-1;11;4;7;2;
252496;Vilanova de l'Aguda;0;1;-1;1;0;1;0;1;-1;-1;
252542;Vilanova de la Barca;27;50;-23;8;8;0;72;74;-2;-25;
252509;Vilanova de Meià;25;49;-24;6;6;0;27;9;18;-6;
431687;Vilanova de Prades;9;10;-1;1;0;1;1;0;1;1;
083036;Vilanova de Sau;18;11;7;0;0;0;0;0;0;7;
252516;Vilanova de Segrià;68;46;22;6;9;-3;29;22;7;26;
083020;Vilanova del Camí;499;505;-6;52;44;8;89;54;35;37;
089024;Vilanova del Vallès;283;236;47;30;26;4;31;14;17;68;
083073;Vilanova i la Geltrú;2415;2061;354;407;388;19;747;438;309;682;
431690;Vilaplana;22;26;-4;3;1;2;6;4;2;0;
431704;Vila-rodona;88;65;23;3;5;-2;23;6;17;38;
172305;Vila-sacra;57;45;12;1;4;-3;14;4;10;19;
252521;Vila-sana;35;49;-14;7;1;6;10;1;9;1;
431711;Vila-seca;905;905;0;211;196;15;258;52;206;221;
082140;Vilassar de Dalt;444;413;31;27;28;-1;62;25;37;67;
082191;Vilassar de Mar;943;877;66;75;95;-20;229;86;143;189;
172229;Vilaür;13;10;3;0;0;0;0;0;0;3;
431726;Vilaverd;30;21;9;2;1;1;3;0;3;13;
431732;Vilella Alta, la;5;6;-1;3;2;1;4;0;4;4;
431747;Vilella Baixa, la;6;14;-8;3;0;3;0;0;0;-5;
172333;Vilobí d'Onyar;135;142;-7;7;14;-7;32;32;0;-14;
083041;Vilobí del Penedès;48;40;8;4;4;0;4;4;0;8;
172327;Vilopriu;17;22;-5;0;0;0;4;0;4;-1;
252537;Vilosell, el;20;5;15;1;4;-3;1;3;-2;10;
431763;Vimbodí i Poblet;42;39;3;9;1;8;5;2;3;14;
252555;Vinaixa;13;16;-3;2;3;-1;1;0;1;-3;
431779;Vinebre;16;34;-18;4;3;1;8;0;8;-9;
431785;Vinyols i els Arcs;196;128;68;4;10;-6;27;10;17;79;
083089;Viver i Serrateix;2;6;-4;0;0;0;0;1;-1;-5;
430521;Xerta;39;42;-3;7;6;1;12;2;10;8;

