Residus municipals. Generació. Total registrat i generació per càpita
Municipis. 2019
Unitats: Tones.
Font: Agència de Residus de Catalunya.
Institut d'Estadística de Catalunya
https://www.idescat.cat/pub/?id=resmc&n=6997&by=mun&t=201900
Codi,Literal,Total kg/hab./dia,Recollida no selectiva,Recollida selectiva,Total
080522,Castellar de n'Hug,0.99,23.74,33.50,57.24,
080500,Castellar del Riu,1.35,23.74,59.36,83.10,
080517,Castellar del Vallès,1.33,6395.88,5330.15,11726.03,
080538,Castellbell i el Vilar,1.69,1400.22,850.57,2250.79,
080543,Castellbisbal,1.43,2551.75,3935.86,6487.61,
080556,Castellcir,1.66,211.04,245.67,456.71,
250674,Castelldans,0.82,183.16,102.97,286.13,
080569,Castelldefels,1.49,21473.35,15011.55,36484.90,
080581,Castellet i la Gornal,2.04,1294.00,415.18,1709.18,
170464,Castellfollit de la Roca,1.40,190.84,300.12,490.96,
080608,Castellfollit de Riubregós,1.35,20.64,53.67,74.31,
080594,Castellfollit del Boix,1.30,107.50,98.66,206.16,
080615,Castellgalí,1.42,831.52,233.89,1065.41,
080620,Castellnou de Bages,1.23,381.30,244.86,626.16,
250680,Castellnou de Seana,1.22,167.05,136.70,303.75,
170470,Castelló d'Empúries,4.37,6101.92,11300.18,17402.10,
250693,Castelló de Farfanya,0.91,106.94,70.34,177.28,
080636,Castellolí,0.91,30.22,176.44,206.66,
170486,Castell-Platja d'Aro,3.57,10025.48,4136.72,14162.20,
250707,Castellserà,1.27,178.15,287.29,465.44,
080641,Castellterçol,1.56,421.50,981.28,1402.78,
430424,Castellvell del Camp,1.29,629.80,714.79,1344.59,
080654,Castellví de la Marca,1.70,433.00,519.80,952.80,
080667,Castellví de Rosanes,1.28,588.20,289.55,877.75,
430430,"Catllar, el",2.36,2070.30,1763.32,3833.62,
250714,Cava,1.35,9.60,13.59,23.19,
171899,"Cellera de Ter, la",1.29,510.44,402.74,913.18,
170499,Celrà,1.02,461.96,1559.75,2021.71,
080673,Centelles,1.45,2145.36,1762.16,3907.52,
082687,Cercs,1.25,165.76,358.04,523.81,
082665,Cerdanyola del Vallès,1.24,15954.98,10074.30,26029.28,
080689,Cervelló,1.65,4011.74,1445.89,5457.63,
250729,Cervera,1.13,1426.56,2357.02,3783.58,
250735,Cervià de les Garrigues,1.14,178.44,87.31,265.75,
170502,Cervià de Ter,1.00,175.79,179.21,354.99,
170519,Cistella,1.44,86.32,61.88,148.20,
250740,Ciutadilla,1.22,55.10,37.43,92.53,
250753,Clariana de Cardener,1.35,43.54,33.92,77.46,
250766,"Cogul, el",0.85,28.84,20.26,49.10,
170545,Colera,3.78,407.70,210.76,618.46,
250772,Coll de Nargó,1.09,150.50,67.80,218.30,
080692,Collbató,1.79,420.68,2501.26,2921.94,
430458,Colldejou,0.55,11.99,23.28,35.28,
080706,Collsuspina,1.33,40.44,125.87,166.31,
170558,Colomers,2.55,59.04,104.75,163.79,
251636,"Coma i la Pedra, la",3.35,197.71,125.93,323.64,
251615,Conca de Dalt,1.29,123.12,74.07,197.19,
430461,Conesa,1.76,26.08,40.02,66.10,
430477,Constantí,1.26,2418.50,585.02,3003.52,
080713,Copons,0.80,15.82,74.19,90.01,
430483,Corbera d'Ebre,0.91,141.04,196.44,337.48,
080728,Corbera de Llobregat,1.67,4705.12,4334.75,9039.87,
250788,Corbins,0.67,71.35,282.97,354.32,
170577,Corçà,0.96,47.45,396.29,443.74,
080734,Cornellà de Llobregat,1.12,24642.73,11558.06,36200.79,
170561,Cornellà del Terri,1.78,990.77,544.56,1535.33,
430496,Cornudella de Montsant,1.70,235.13,348.68,583.81,
430509,Creixell,2.65,3109.25,417.08,3526.33,
170583,Crespià,1.22,73.55,35.86,109.41,
179011,"Cruïlles, Monells i Sant Sadurní de l'Heura",1.72,379.80,420.88,800.68,
080749,Cubelles,1.90,6631.00,3983.33,10614.33,
250791,Cubells,1.18,89.77,58.07,147.84,
430516,Cunit,2.16,6105.62,4097.85,10203.47,
170600,Darnius,1.41,80.91,200.53,281.44,
170617,Das,1.66,126.19,27.47,153.66,
439018,Deltebre,1.76,4412.84,2972.61,7385.45,
080752,Dosrius,1.54,1218.30,1865.55,3083.85,
430537,Duesaigües,0.94,23.99,60.04,84.03,
170622,"Escala, l'",3.32,6874.04,5665.38,12539.42,
080765,Esparreguera,1.26,5252.29,4951.80,10204.09,
170638,Espinelves,1.42,28.59,83.04,111.63,
250812,"Espluga Calba, l'",0.90,62.10,50.14,112.24,
430542,"Espluga de Francolí, l'",1.40,980.08,943.91,1924.00,
080771,Esplugues de Llobregat,1.13,12114.39,7166.81,19281.20,
170643,Espolla,1.33,118.14,84.02,202.16,
170656,Esponellà,1.71,179.36,93.36,272.71,
250827,Espot,2.14,117.47,166.45,283.92,
080787,"Espunyola, l'",0.98,37.12,53.66,90.78,
082541,"Esquirol, l'",1.02,168.28,646.40,814.68,
250886,Estamariu,1.35,24.11,34.09,58.20,
080790,"Estany, l'",1.56,152.70,78.42,231.12,
