Indicadors socioeconòmics. Valors
Municipis. 2019 (p)
Unitats: %.
Font: Idescat. Índex socioeconòmic territorial
Nota: La renda mitjana per persona s'expressa en euros, i fa referència als ingressos percebuts durant l'any anterior.
(p) Dada provisional.
(b) Ruptura en la sèrie temporal.
Institut d'Estadística de Catalunya
http://www.idescat.cat/pub/?id=ist&n=14074&by=mun
Codi;Literal;Població ocupada;Treballadors de baixa qualificació;Població amb estudis baixos;Població jove sense estudis postobligatoris;Estrangers de països de renda baixa o mitjana;Renda mitjana per persona
439057;Salou;54,1 (b);9,7 (b);15,2 (b);38,5 (b);26,6;11406;
171557;Salt;57,0 (b);26,9 (b);31,5 (b);54,0 (b);38,9;8921;
081944;Sant Adrià de Besòs;60,4 (b);15,9 (b);20,4 (b);44,0 (b);12,3;10779;
081960;Sant Andreu de la Barca;68,7 (b);14,1 (b);18,3 (b);31,9 (b);8,8;12801;
081976;Sant Andreu de Llavaneres;67,0 (b);6,6 (b);9,3 (b);18,2 (b);7,0;16636;
081982;Sant Antoni de Vilamajor;70,0 (b);9,6 (b);12,6 (b);24,5 (b);3,5;14716;
082009;Sant Boi de Llobregat;67,7 (b);12,8 (b);18,9 (b);31,4 (b);8,2;12608;
082021;Sant Celoni;66,6 (b);14,4 (b);17,2 (b);33,8 (b);9,1;12720;
082055;Sant Cugat del Vallès;69,4 (b);4,1 (b);6,7 (b);10,2 (b);6,2;20582;
082080;Sant Esteve Sesrovires;71,5 (b);8,5 (b);14,8 (b);20,5 (b);3,1;16000;
082107;Sant Feliu de Codines;69,9 (b);15,1 (b);14,3 (b);31,1 (b);7,5;12922;
171609;Sant Feliu de Guíxols;60,7 (b);17,9 (b);20,3 (b);42,9 (b);15,0;11238;
082114;Sant Feliu de Llobregat;70,6 (b);9,8 (b);15,8 (b);23,1 (b);5,7;14482;
082093;Sant Fost de Campsentelles;69,1 (b);8,7 (b);17,6 (b);21,3 (b);3,0;14874;
082135;Sant Fruitós de Bages;73,5 (b);13,4 (b);13,1 (b);29,0 (b);4,4;15366;
171642;Sant Hilari Sacalm;69,1 (b);20,1 (b);27,3 (b);44,6 (b);15,5;11964;
082188;Sant Joan de Vilatorrada;70,2 (b);14,0 (b);21,1 (b);33,6 (b);8,4;12832;
082172;Sant Joan Despí;71,7 (b);8,7 (b);15,4 (b);21,2 (b);6,2;15189;
082212;Sant Just Desvern;70,4 (b);4,7 (b);9,7 (b);11,9 (b);5,7;23811;
082310;Sant Pere de Ribes;62,9 (b);12,4 (b);14,9 (b);37,7 (b);8,5;12578;
082359;Sant Pol de Mar;63,9 (b);5,2 (b);11,5 (b);15,1 (b);6,4;15698;
082384;Sant Quirze del Vallès;72,4 (b);5,7 (b);8,1 (b);15,6 (b);3,4;18163;
082401;Sant Sadurní d'Anoia;71,3 (b);10,4 (b);16,9 (b);25,0 (b);7,7;14210;
082628;Sant Vicenç de Castellet;62,6 (b);16,1 (b);21,4 (b);40,9 (b);10,3;11851;
082649;Sant Vicenç de Montalt;66,8 (b);5,0 (b);8,8 (b);15,6 (b);6,2;19141;
082634;Sant Vicenç dels Horts;66,4 (b);13,1 (b);18,4 (b);33,1 (b);6,8;12411;
082444;Santa Coloma de Cervelló;75,9 (b);6,7 (b);11,4 (b);20,2 (b);2,2;14918;
171805;Santa Coloma de Farners;68,4 (b);18,2 (b);24,3 (b);46,1 (b);20,2;12089;
082457;Santa Coloma de Gramenet;61,4 (b);16,9 (b);26,1 (b);45,1 (b);20,2;10398;
