cod_municipi,any,cod_provincia,nom_provincia,cod_comarca,nom_comarca,nom_municipi,pp_perc,psc_perc,cs_perc,indep_perc,abst_perc,intervencio
08024,2017,8,BARCELONA,14,BERGUEDÀ,BORREDÀ,1.9047619,7.6190476,6.0317459,82.222221,14.634147,0
08025,2012,8,BARCELONA,6,ANOIA,EL BRUC,7.9545455,8.806818,5.492424,60.700756,28.070175,0
08025,2015,8,BARCELONA,6,ANOIA,EL BRUC,6.0100002,8.1199999,13.37,61.669998,20.32,0
08025,2017,8,BARCELONA,6,ANOIA,EL BRUC,3.1545742,8.7539434,17.350157,61.277603,15.256495,0
08026,2012,8,BARCELONA,24,OSONA,EL BRULL,3.1055901,.62111801,.62111801,85.09317,14.361702,0
08026,2015,8,BARCELONA,24,OSONA,EL BRULL,2.4000001,0,2.99,89.82,11.17,0
08026,2017,8,BARCELONA,24,OSONA,EL BRULL,2.3952096,.59880239,4.1916165,90.419159,8.7431698,0
08027,2012,8,BARCELONA,3,ALT PENEDÈS,LES CABANYES,6.7857141,9.4642859,2.5,69.285713,17.723343,0
08027,2015,8,BARCELONA,3,ALT PENEDÈS,LES CABANYES,6.1300001,8.6899996,9.54,68.309998,14.35,0
08027,2017,8,BARCELONA,3,ALT PENEDÈS,LES CABANYES,2.4834437,8.9403973,16.556292,66.390732,12.931034,0
08028,2012,8,BARCELONA,6,ANOIA,CABRERA D'ANOIA,13.496933,20.705521,4.1411042,38.80368,37.153774,0
08028,2015,8,BARCELONA,6,ANOIA,CABRERA D'ANOIA,10.91,21.02,12.22,37.32,26.690001,0
08028,2017,8,BARCELONA,6,ANOIA,CABRERA D'ANOIA,3.4047918,17.150063,29.003782,40.7314,22.942884,0
08029,2012,8,BARCELONA,21,MARESME,CABRERA DE MAR,10.322347,4.09272,4.8895326,69.648682,19.16691,0
08029,2015,8,BARCELONA,21,MARESME,CABRERA DE MAR,6.5300002,5.8600001,11.44,67.279999,13.14,0
08029,2017,8,BARCELONA,21,MARESME,CABRERA DE MAR,2.9392972,8.6261978,17.507988,64.984024,10.997732,0
08030,2012,8,BARCELONA,21,MARESME,CABRILS,9.1595106,4.9700756,5.9588861,68.982567,21.193542,0
08030,2015,8,BARCELONA,21,MARESME,CABRILS,5.2199998,4.6399999,14.45,67.779999,15.22,0
08030,2017,8,BARCELONA,21,MARESME,CABRILS,2.3276436,8.1356688,18.754156,65.151848,11.932151,0
08031,2012,8,BARCELONA,6,ANOIA,CALAF,8.5316305,9.4602442,1.8572258,66.395821,24.003504,0
08031,2015,8,BARCELONA,6,ANOIA,CALAF,7.1799998,8.2399998,5.4400001,68.589996,17.23,0
08031,2017,8,BARCELONA,6,ANOIA,CALAF,4.0775733,8.602685,13.525609,68.622574,14.563929,0
08032,2012,8,BARCELONA,21,MARESME,CALDES D'ESTRAC,9.4176855,8.9863405,5.032351,64.629761,28.680202,0
08032,2015,8,BARCELONA,21,MARESME,CALDES D'ESTRAC,5.8699999,11.22,10.77,61.77,21.76,0
08032,2017,8,BARCELONA,21,MARESME,CALDES D'ESTRAC,2.5846155,11.938461,15.753846,61.661537,19.026329,0
08033,2012,8,BARCELONA,41,VALLÈS ORIENTAL,CALDES DE MONTBUI,9.8096962,12.449026,5.8903489,57.691437,29.048946,0
08033,2015,8,BARCELONA,41,VALLÈS ORIENTAL,CALDES DE MONTBUI,6.6100001,11.12,14.03,57.220001,20.440001,0
08033,2017,8,BARCELONA,41,VALLÈS ORIENTAL,CALDES DE MONTBUI,2.957063,10.976838,21.688181,56.623638,15.764796,0
08034,2012,8,BARCELONA,7,BAGES,CALDERS,5.199307,2.5996535,.8665511,82.149048,22.654156,0
08034,2015,8,BARCELONA,7,BAGES,CALDERS,4.4200001,4.4200001,2.05,85.150002,17.120001,0
08034,2017,8,BARCELONA,7,BAGES,CALDERS,1.9461077,4.4910178,8.2335329,81.736526,12.38592,0
08035,2012,8,BARCELONA,21,MARESME,CALELLA,11.717726,10.704494,4.4701395,59.828346,30.860558,0
08035,2015,8,BARCELONA,21,MARESME,CALELLA,8,9.7700005,12.26,60.209999,24.639999,0
08035,2017,8,BARCELONA,21,MARESME,CALELLA,3.6801133,9.5945807,21.585279,58.416744,21.70347,0
08036,2012,8,BARCELONA,6,ANOIA,CALONGE DE SEGARRA,7.4626865,.74626863,0,85.074623,20.71006,0
08036,2015,8,BARCELONA,6,ANOIA,CALONGE DE SEGARRA,2.27,3.03,3.03,84.849998,17.5,0
08036,2017,8,BARCELONA,6,ANOIA,CALONGE DE SEGARRA,0,4.2553191,4.2553191,88.652481,15.060241,0
08037,2012,8,BARCELONA,24,OSONA,CALLDETENES,3.4343433,2.3569024,1.2121212,82.760941,19.284941,0
08037,2015,8,BARCELONA,24,OSONA,CALLDETENES,3.7,3.0799999,2.8900001,85.190002,13.88,0
08037,2017,8,BARCELONA,24,OSONA,CALLDETENES,1.6736401,4.1841006,7.0531979,84.100418,11.375662,0
08038,2012,8,BARCELONA,7,BAGES,CALLÚS,5.0454087,8.2744703,2.5227044,70.635719,27.661116,1
08038,2015,8,BARCELONA,7,BAGES,CALLÚS,3.1900001,7.0599999,7.6700001,73.379997,20.809999,1
08038,2017,8,BARCELONA,7,BAGES,CALLÚS,2.0123839,6.1919503,14.705882,72.368423,14.351851,1
08039,2012,8,BARCELONA,41,VALLÈS ORIENTAL,CAMPINS,4,2,1,70.333336,19.200001,1
08039,2015,8,BARCELONA,41,VALLÈS ORIENTAL,CAMPINS,2.6700001,2.3299999,5,80.330002,15.88,1
08039,2017,8,BARCELONA,41,VALLÈS ORIENTAL,CAMPINS,1.1627907,6.104651,6.6860466,79.360466,11.508951,1
08040,2012,8,BARCELONA,21,MARESME,CANET DE MAR,10.716723,8.8327646,5.1604095,59.726963,30.216713,0
08040,2015,8,BARCELONA,21,MARESME,CANET DE MAR,8.25,8.4399996,11.78,61.59,22.34,0
08040,2017,8,BARCELONA,21,MARESME,CANET DE MAR,3.7261503,10.044893,18.585859,60.549942,17.950602,0
08041,2012,8,BARCELONA,41,VALLÈS ORIENTAL,CANOVELLES,15.673018,24.708052,12.277197,26.53657,34.450375,0
08041,2015,8,BARCELONA,41,VALLÈS ORIENTAL,CANOVELLES,11.99,21.52,26.309999,26.32,25.879999,0
08041,2017,8,BARCELONA,41,VALLÈS ORIENTAL,CANOVELLES,5.1520271,20.209942,37.222492,27.750965,20.867002,0
08042,2012,8,BARCELONA,41,VALLÈS ORIENTAL,CÀNOVES I SAMALÚS,14.073596,15.300194,8.3279533,46.739834,28.25688,0
08042,2015,8,BARCELONA,41,VALLÈS ORIENTAL,CÀNOVES I SAMALÚS,11.77,13.03,17.73,45.919998,17.99,0
08042,2017,8,BARCELONA,41,VALLÈS ORIENTAL,CÀNOVES I SAMALÚS,3.8124678,12.107162,28.026791,47.861927,14.511179,0
08043,2012,8,BARCELONA,17,GARRAF,CANYELLES,15.766423,17.372263,6.5206814,43.065693,33.022507,0
08043,2015,8,BARCELONA,17,GARRAF,CANYELLES,8.9099998,13.85,22.219999,41.759998,24.75,0
08043,2017,8,BARCELONA,17,GARRAF,CANYELLES,4.0227704,14.497153,31.650854,40.493359,18.518518,0
08044,2012,8,BARCELONA,6,ANOIA,CAPELLADES,10.909091,14.511785,4.0404038,56.902355,29.260221,0
08044,2015,8,BARCELONA,6,ANOIA,CAPELLADES,7.5999999,13.28,13.13,56.349998,19.73,0
08044,2017,8,BARCELONA,6,ANOIA,CAPELLADES,2.9599535,12.623331,21.735346,56.645386,16.307245,0
08045,2012,8,BARCELONA,14,BERGUEDÀ,CAPOLAT,0,0,0,91.071426,18.84058,0
08045,2015,8,BARCELONA,14,BERGUEDÀ,CAPOLAT,1.64,0,1.64,80.32,15.28,0
08045,2017,8,BARCELONA,14,BERGUEDÀ,CAPOLAT,1.7543859,1.7543859,0,89.473686,18.571428,0
08046,2012,8,BARCELONA,41,VALLÈS ORIENTAL,CARDEDEU,9.088974,9.4934015,6.3324819,57.747978,25.301584,0
08046,2015,8,BARCELONA,41,VALLÈS ORIENTAL,CARDEDEU,5.9499998,8.5900002,13.98,61.07,18.34,0
08046,2017,8,BARCELONA,41,VALLÈS ORIENTAL,CARDEDEU,2.599577,10.645047,18.417343,60.354248,13.847085,0
08047,2012,8,BARCELONA,7,BAGES,CARDONA,10.305484,13.544351,5.1159368,58.814869,32.616661,0
08047,2015,8,BARCELONA,7,BAGES,CARDONA,7.1399999,13.36,12.84,56.720001,23.5,0
